Latitude,Longitude,ID,Title,Description,Group,Timed ,Campus,Zone,Location,Get to Know Rutgers,Experience the Arts & Humanities,Science & Technology,All Things Green,Health and Wellness,Business and Careers,Sports and Recreation,Kids Stuff,Alumni
40.523175,-74.463168,543,Science Academic Support Academy Presentation,Learn more about this student organization that offers free tutoring and mentoring services in the field of basic sciences.,Science Academic Support Academy,no,Busch,Life Sciences Area,,Yes,no,no,no,no,no,no,no,no
40.522676,-74.4619,544,Society of Women Engineers,Create a design using spin art and learn about this society.,Society of Women Engineers,no,Busch,Engineering Area,,Yes,no,no,no,no,no,no,Yes,no
40.523723,-74.463936,545,The New Jersey Language and Autism Genetics Study (NJLAGS),"Learn more about NJLAGS, a family genetics study of autism and related disorders.",Department of Genetics,no,Busch,Life Sciences Area,,Yes,no,no,no,no,no,no,no,no
40.500361,-74.446885,1,Through the Eyes of a Child,Learn how infants and children perceive and learn about the world through fun games and activities.,"Department of Psychology, Rutgers University-Newark",no,College Avenue,Voorhees Mall Area,,Yes,no,Yes,no,Yes,no,no,no,no
40.499952,-74.446593,7,Be Your Own Masterpiece,Immortalize yourself in great works of art--and take home a souvenir photo.,Department of Art History,no,College Avenue,Voorhees Mall Area,,Yes,Yes,no,no,no,no,no,Yes,no
40.499885,-74.447084,11,Step into Beijing Opera,Dress up as a Beijing Opera star or get a Chinese character tattoo.,Confucius Institute of Rutgers University,no,College Avenue,Voorhees Mall Area,,Yes,Yes,no,no,no,no,no,Yes,no
40.499852,-74.44653,14,"Division of Global Affairs (DGA)
Rutgers University-Newark",Learn about our graduate programs that prepare leaders for global challenges of the 21st century.,"Division of Global Affairs, Rutgers University-Newark",no,College Avenue,Voorhees Mall Area,,Yes,Yes,no,no,no,Yes,no,no,no
40.499825,-74.447031,22,Crafts and Culture,"Join us for Asian American crafts and games, and meet famous paper cutter Master Cheng.",Asian American Cultural Center,no,College Avenue,Voorhees Mall Area,,Yes,Yes,no,no,no,no,no,Yes,no
40.500522,-74.447613,25,Visit the Plaza,"Learn about the Plaza on Livingston Campus, a new retail area with restaurants, shops, and even a three-screen movie theater.",The Plaza at Livingston Campus,no,College Avenue,Voorhees Mall Area,,Yes,no,Yes,no,no,no,no,no,no
40.500525,-74.447603,26,kite+key: Rutgers Tech Store,"Discover kite+key, the Rutgers tech store and Apple-authorized dealer.","kite+key, the Rutgers Tech Store",no,College Avenue,Voorhees Mall Area,,Yes,no,Yes,no,no,no,no,no,no
40.500899,-74.447516,33,Livingston Social Justice Learning Community,Make human-sized bubble art and learn about a community that embraces every kind of people.,Center for Social Justice Education and LGBT Communities,no,College Avenue,Voorhees Mall Area,,Yes,no,no,no,no,no,no,no,no
40.50091,-74.447458,34,Rainbow Perspectives Housing,Make human-sized bubble art and learn about a residential option for the LGBTQA community.,Center for Social Justice Education and LGBT Communities,no,College Avenue,Voorhees Mall Area,,Yes,no,no,no,no,no,no,Yes,no
40.500935,-74.4474,35,Social Justice Education and LGBT Communities,Stop by for human-sized bubble making and learn about programs for LGBTQA students.,Center for Social Justice Education and LGBT Communities,no,College Avenue,Voorhees Mall Area,,Yes,no,no,no,no,no,no,Yes,no
40.501385,-74.447585,40,The Clothesline Exhibit,View a display of t-shirts decorated by Rutgers students to honor victims of interpersonal violence.,Office for Violence Prevention and Victim Assistance,no,College Avenue,Voorhees Mall Area,,Yes,no,no,no,no,no,no,no,no
40.498208,-74.446485,43,Rutgers University Alumni Association BBQ,"Bring your family and enjoy a barbecue buffet lunch with classmates on the beautiful Old Queens lawn. Afterwards, visit Winants Hall for activities at Alumni Headquarters before exploring all Rutgers Day has to offer. Alumni registration and fee required: Ralumni.com/15AlumniWeekend",Rutgers University Alumni Association,no,College Avenue,Old Queens Area,"Front lawn, Old Queens Building",no,no,no,no,no,no,no,no,yes
40.502828,-74.450053,52,Daily Targum,News flash! Learn what it takes to produce Rutgers' student-run newspaper.,The Daily Targum,no,College Avenue,Bishop House Area,,Yes,no,no,no,no,Yes,no,no,no
40.49982,-74.44624,56,Green Screen Getaway,"Pose for a customized picture against a green screen, and bring home a keepsake print.","Office of Information Technology, Support Center",no,College Avenue,Voorhees Mall Area,"Voorhees Hall, room 105",Yes,no,Yes,no,no,no,no,Yes,no
40.502746,-74.450126,57,Naval ROTC,Learn about the naval ROTC program representing midshipmen from Rutgers and Princeton.,Naval ROTC,no,College Avenue,Bishop House Area,,Yes,no,no,no,no,Yes,no,no,no
40.499631,-74.446832,60,Economics in Action,"Have fun with economics: games, videos, market forecasts, and free cookies. (But no free lunch!)",Department of Economics,no,College Avenue,Voorhees Mall Area,Next to New Jersey Hall,Yes,Yes,no,no,no,Yes,no,no,no
40.501426,-74.447612,61,Rutgers Wellness Zone,"A wellness extravaganza: competitions, health info, and fun activities for the whole family.",Rutgers Health Services/Recreation/Violence Prevention and Victim Assistance,no,College Avenue,Voorhees Mall Area,,Yes,no,Yes,no,Yes,no,no,no,no
40.502862,-74.451783,63,All About Obstetrics,Try on a pregnancy simulation suit or visit our surgical and obstetrics selfie station.,"Department of Obstetrics, Gynecology and Reproductive Sciences, Robert Wood Johnson Medical School",no,College Avenue,Student Center Area,,no,no,Yes,no,Yes,no,no,no,no
40.500104,-74.447581,64,A4EFFORT: Improv Comedy,Rutgers' very own improv comedy troupe is sure to make you laugh. Interactive games and sketches are fun for all!,A4Effort,no,College Avenue,Voorhees Mall Area,"Scott Hall, room 123",Yes,no,no,no,no,no,no,no,no
40.502472,-74.451344,68,Alpha Kappa Delta Phi,Interactive activity,alpha Kappa Delta Phi,no,College Avenue,Student Center Area,Center for Latino Arts and Culture,no,no,no,no,no,no,no,no,no
40.500111,-74.446712,70,Building Knowledge from Imagination,"Celebrate imagination: prize wheel, Lego tent, children's readings, and Art Library display.",Rutgers University Libraries,no,College Avenue,Voorhees Mall Area,,Yes,Yes,no,no,no,no,no,Yes,no
40.500436,-74.446934,71,Rutgers-Camden Learning Abroad,Learn about opportunities to study abroad through short-term programs.,Office of International Programs - Rutgers-Camden,no,College Avenue,Voorhees Mall Area,,Yes,Yes,no,no,no,Yes,no,no,no
40.500609,-74.447531,72,International Trivia Challenge,How well do you know the world? Try these international brainteasers!,Centers for Global Advancement and International Affairs,no,College Avenue,Voorhees Mall Area,,Yes,Yes,no,no,no,no,no,no,no
40.498184,-74.446538,79,Scarlet Headquarters for Alumni,"Catch up with alumni and friends: photo booth, swag swap, class-year buttons, refreshments, and more.",Rutgers University Alumni Association,no,College Avenue,Old Queens Area,Winants Hall,no,no,no,no,no,no,no,no,yes
40.498857,-74.445787,80,(8:15 a.m.) Interfaith Memorial Chapel Service,Let the bell of Old Queens call you to this service of thanksgiving and remembrance at 8:15 a.m. The chapel service was once an element of the Rutgers educational experience and was revived by the late Walter Seward RC'17. You will be inspired by the rich traditions and diversity of Rutgers today. Registration required: ralumni.com/15alumniweekend,Rutgers University Alumni Association,yes,College Avenue,Old Queens Area,Kirkpatrick Chapel,no,no,no,no,no,no,no,no,yes
